text,bonus_clustering
Γέλια σαν κομπολόγια,3
Καρδίαν καθαράν θέλ' ο Θεός,0
Ου Θεός κι ου γείτονας,4
Θέλει να κρυφθή πίσω από το δάχτυλό του,7
Όλοι κλαίν' τα χάλια τ'ς κι ο μυλωνάς τη δέσι,4
Σε ξένο φαγεί να μη βάνης άλας,4
Μου το βγαλε απ' τις μύτες,6
Γίγκι για κουρκούτ',0
Ειναι στα ολίστια,0
Όξ' απού θάνατου!,10
Τον ζουρλόν 'ς του χωριάτη ξένοι πόνοι τον γεράζουν,2
"Η μοίρα που σε μοίρανε, θα σε μυρολογούσε",1
Πέντε γρόσια ΄ς το πουγγί,3
Όλα διορθώνονται μονάχα του σπανού τα γένια,7
Τον καταφέρνω,9
Η κόττα γαργανίζοντας τα μάτια της θα βγάλη,9
Μ'κρος πιρδάρ - μιγάλους γουμάρ',4
Σαν να τον λάβωσ' ο λύκος,0
"Όποιος μ' θέλει το καλό, με κάν' και κλαίω, κι όποιος μ' θέλ' το κακό με κάν' και γελώ",4
Σαν εκκλησιά 'ς την ερημιά που δεν την λειτουργούνε έστε είν' αυτός οπ' αγαπά και δεν τον αγαπούνε,4
Ή χήνα ή σκατίνα,10
"Με παίρνει ξωπίσω, με κυνηγάει, με παρακολουθεί",7
Ισιοζύγιαζε κι ακριβοπούλα,9
"Όσον ξιτξγκαξίς τα σκατά, τόσον περισσότερον βρουμούν",7
Ξένο βιο καλολογάριασ' το,9
"Οι ζωντανοί με τους ζωντανούς, κ' οι πεθαμένοι με τους πεθαμένους",9
Της Κυριακής το όνειρο ως το γιόμα στρέει,9
Φκειάνομε καλυβάκια,5
Απόστολος παρήγορος χασάπικης ειρήνης,2
Τούρθε σαν της κουκουβάγιας το πουλί,7
Ξύλα κούτσουρα δαυλιά καϋμένα,5
Δεν αξίζει ο κόπος,8
Το αβκόν αβκόν τσακκίζει,7
Ο Χριστός πρώτα ευλόγησε τα γένεια του κ' ύστερα τον άλλον κόσμον,8
Το γουρουνάσκ' κρασάσκ' δε γένεται,1
Κάλλια Καλογιάνν' παρά Κακογιάνν',3
Να τον φυσήης πέφτει,4
Αλλού το όνειρο κι αλλού το θάμμα,5
Όλα τά 'χ΄ η Φατιμέ ο φερετζές τής λείπει,7
"Τι να σ΄ θυμθώ, κρουμδάκι μ΄ που κάθι χαψιά κί δάκρυ",2
Όλα τά 'χ' η Τζίκα ο φερετζές τής λείπει,7
"Σ' αγαπώ κυρά μ΄που κλάνεις, αλλά συ το παρακάνεις",4
Το μ'σιακό το βόδ' το τρώει ο λύκος,7
"Κοντή γυναίκα πέρδικα, ψηλή χαραμουντάνα, ψηλός άντρας απόστολους, κοντός πομπή και γιάννα",8
Όσο κι αν ξεπέση το βουβάλι πάντα το τομάρι του αξίζ ένα βόϊδι,3
Θηβαίοι κι Αθηναίοι και κακοί Μυτιληναίοι άλλα λένε το βράδι κι άλλα κάνουν το πρωΐ,7
Αι γυναίκες μακρυά μαλλιά κ' ολίγη γνώση,7
Όσα ξέρ' ου νκουκύρς δεν τα ξέρ' ου κόσμος όλους,1
Το πάνουν ζιτνά,8
Εις μόνον αναμάρτητος,8
Όποιος έχει σειέται κι όπου δεν έχει ξυέται,10
Πέντε δέκα στη σακκούλα καλώς σ΄ ηύρα γυναικούλα,7
Στέκεται στ΄αγκάθι,4
Εχ' κώλου,7
Τρώει τ' πουλιού το γάλα,7
Τώρα είν το νερό ζεστό και το ποτάμ' σιγαλό,5
Σι ξένου κρασί μη χύνς νιρό,7
Περπατάει άμποτε και κάμποτε,5
"Λαγαρίζω (ρ) καθαρίζω, θα καθαρίσ' η αίρ' από το σιτάρι",4
Απέθανα γελώντας,6
Για την τριχιά πά' η τζιούμα,3
"Αγκομαχάει σαν το άτι, ή σαν σκύλος",7
Σιγουριά 'ς το Καρπενήσι 'ς τη λάσπη πολεμούν,7
Τον αράπη θα λευκάνης κόπο και σαπούνι χάνεις,4
Δυο φοραίς οι γέροντες γένονται παιδιά,4
Έναν τον έπαιρνε το ποτάμι κι' άλλος του λεγε Στάσου να σε γαμήσω,8
Άντρας μου ςτα ρούμπαλα κ' εγώ 'ς τα πανηγύρια,2
Μια κούτ' κι άλλ' διάβα 'δω,7
Πίσω την έχει την ουρά το δροσερό τ' απίδι,7
"Εκεί όπου δεν έβαλες, μην απλώνης",8
Εγεννήθηκε σε ξίσκεπο σπίτι,10
Τρείς μέρες το θάμα κι άλλες τρείς το παραθάμα,4
Το κάνω παίπαιλη,6
"Ανάβαλες το φίλο, πάρει και κομμάτι ξύλο",2
Το στάρι απ' το μύλο θα διαβή,4
Τα αυτά της αυτής,7
Τούρθε σαν τ' μπούφιο του πλι,1
Πρώτα θα ιδούμε το γείτονα κ' ύστερα τον ήλιο,7
Ήλιος καμωμένος,4
Το γρόθο στο μαχαίρι,3
Όποιους έχ΄ γρόσια έχ΄ γλώσσα,7
Το πήρε σβάρνα,7
Μας έκουψι μπουρανιές,4
Έχει δεύτερα μάτια,4
Ο λύκος με μυρμήγκια δεν χορταίνει,7
Λέγ' άρα μπάρα,7
Τ' ς αλουνίζ',8
Ξένα τα δαμάλια θ'κά μας τα μ'σκάρια,10
Πέθανε να σε πονώ και ζήσε για να σ' έχω,7
Έδουκι κί πήρι,6
Ένας κούκκους άγ' ξ' δέ φέρ',7
Κάλλια θιούτκη ουργή πάρ' ανθρώπινη βουή,7
Το παλιό το φόρεμα αψυχάει το καινούριο,4
Σαν το βόϊδι,2
Σ του λόγγου κατοικίας και ξύλα αγοράζης,7
Μια βολά απ' τη βολά μου τσάκισαν τα πλευρά,4
"Έφαγε ένα δόξα πατρί, που θά το θυμάται γιά πάντα",6
Έχει πίσσα κ' η παράδεισο,1
"Όποιος κάθεται στο βεζιάχι, εκείνος ξέρει πως πάει ο καπνός του μαγαζιού",7
Ταγώγι ξυπνά τον αγωγιάτη,7
