text,f3352321,f3352310,f3352311,f3352316,f3352318,f3352314,f3352315,f3352301,f3352308,f3352307,persona1,persona2,persona3,persona4,persona5
Όποιος δεν τον ξέρ΄ ακριβά τον αγοράζει,1,1,2,2,6,1,6,1,1,1,1,1,4,2,4
Τα 'θελες και τα 'παθες,1,5,17,9,5,2,5,3,1,2,1,2,1,3,10
"Αδειανός μασκαράς, παραχέρ 'τ' χουριού",3,1,16,1,6,3,10,3,1,3,3,4,2,4,2
"Ξεπεσομένος άρχοντας, ζωντανοκολασμένος, λιοντάρι ψόφιο, χαρτί μουρδουλωμένο",3,1,1,1,6,3,2,4,4,4,2,1,1,2,2
"Κάλλιο γαιδουρόδερνε, παρά γαιδουρογύρευε",2,2,1,3,6,2,8,1,2,5,5,4,6,4,7
Εφτό σύρνεται,1,1,9,50,6,3,7,3,6,6,5,1,6,5,7
"Φύϊτι να μη σας κοιτιλήση του βώδι – Αμ' που 'νιν, πρέ του βώδιν; - Ε θουράτι του σκοινίν του πάου να του φέρου;",1,2,1,11,6,4,10,5,2,6,1,2,2,3,3
Άφσ' τσου πλούσους να σωδιάζουν για τη φτώχεια απανωτιάζουν,2,2,2,5,1,9,6,1,4,7,3,3,3,3,4
Η παλαβάδα 'νι 'κατό λουγιώ στού κόσμου,1,1,13,9,6,4,10,3,3,8,4,3,1,4,7
Στού Μπαλίκ Παζάρ ένας παπάς κρέμιτι,4,4,5,6,6,4,10,6,7,9,5,6,4,4,7
"Τρεις στα Γέννα, τρεις τα Φώτα τσ' έξη στην Ανάστασι",4,4,3,6,6,4,5,7,7,50,5,2,3,5,9
Σαν κρυφτόξυλο δαγκάνει,5,5,17,17,6,8,10,3,1,6,1,1,4,5,7
"Σ' ούλα τα καλά, ο Θεός είναι μέσα",4,4,3,6,4,6,5,6,4,10,1,8,6,1,9
"Ηβάρεσιν, η μοίρα του",6,5,11,7,6,3,2,8,5,11,2,5,6,2,5
Τρέχ' η μύτ' σ' γαμβρε! Τρέχ' απού του χ'μώνα. Σι ξέρου κι απου του καλουκαίρ',1,5,4,10,6,4,4,7,5,12,1,6,2,4,2
"Οποίος προσκυνάει και κλάνει, κ' η πορδαίς του φύγανε, και τση μετάνοιαις του έχασε",1,1,3,6,6,6,10,6,4,13,3,1,1,4,3
Το μήλο θα πέση κάτ' α' τη μηλιά,6,1,4,13,2,2,2,7,1,14,9,1,4,4,7
Εκαμένμ μ' ασσίμ μουδούριν,1,1,8,50,6,4,1,1,1,50,4,3,4,4,3
Καλού καιρού ξύλο,1,1,4,50,6,3,1,1,1,15,2,1,6,5,2
Νάχα πουτάνας ριζικό και ά καμάτρας μοίρα,3,3,11,7,6,3,3,8,2,11,9,6,6,2,5
Άλλος κούκος λαλεί,1,5,1,11,6,4,7,1,1,16,4,4,4,4,8
Έργατα και δουλείας,1,1,5,8,6,3,8,2,6,17,3,7,3,3,8
Η δουλειά δέ χρίζει μούτρα,2,1,5,8,3,2,8,2,2,17,1,7,1,3,8
"Τσ' η πούλλα τσα πίνει νερό, τοθ Θεό ξαννοίει",4,4,3,6,6,6,7,6,7,10,3,1,1,7,3
"Αλλοίς τον οπού καρτερά στα ξένα να δειπνήση και δε(ν) στένει την τσούκαν του, να φάη και να χαρίση",1,2,17,9,6,9,7,5,2,18,6,5,6,5,4
Παντρεύει Δεσπότη!,1,5,6,6,6,5,4,7,1,19,3,8,4,4,10
Ασκημέ μου στρώσε το έλα κι ομορφέ μου τι θα φάμε,3,3,10,12,6,7,7,5,8,20,10,3,6,7,3
Κάνει τα μπορεί και τα δύνεται,1,1,17,15,6,8,7,1,4,17,1,2,3,3,10
"Που δεν εντρέπεται, πορεύγεται",2,1,7,17,4,2,10,1,3,28,1,4,3,1,2
"Ούτε διάκο σε είδαμε, ούτε Πρωτοσύγγελο! Και συ δεσπότης έγεινες!",3,5,16,6,6,6,3,6,3,21,7,6,6,5,5
Τουν έκανα απ 'άσπρου,1,5,17,15,5,3,7,1,5,15,5,5,6,2,9
Λάου λάου πάει,1,5,9,15,5,8,7,3,1,22,1,1,4,4,10
Τα δανεικά φορέματα μήτε ζεσταίνουν μήτε ζεσταίνονται,2,2,8,17,6,2,10,1,2,13,4,6,2,4,4
Βουβός περνά,3,1,10,15,6,8,2,1,1,6,7,1,6,5,7
"Όπου τσυν' γα δυό λαγούς, χάνει τσαί τον ένα νάνει τσαί τον άλλε",2,2,1,16,6,4,10,4,2,16,3,7,1,3,2
Ποντές ξεζεύγουν οι γεωργοί οι κερατάδες,3,5,5,50,6,8,7,1,4,24,6,4,6,4,4
Τώρα που γιν η θάλασσα μέλι έσπασε το κουτάλι,1,1,4,7,6,8,2,3,8,13,5,1,5,6,1
Τα θέλ' όλα δικά του,1,1,7,16,2,8,10,3,1,26,1,3,1,1,10
Όποιος συχνα σκουντάβγει συχνα και μεταννοιώνει,2,1,7,9,3,2,10,3,4,2,4,2,6,6,3
Πέσε πίτα να σί φάου,1,3,9,16,6,4,2,5,6,18,1,4,5,5,2
Της κακομούσουρης το προικιόν η ώμορφη τόχει ριζικό,6,1,10,12,6,7,2,8,3,11,3,1,6,5,9
Παρασκεβγοπλυμένη μου και σαββατοστεγνώστρα,3,4,14,50,6,8,2,3,4,27,4,8,2,6,6
Χα θα θέλη η νύφφη κ' η γαμπρός τύφλα να 'χη η πιθθιρός,1,1,6,10,6,5,9,7,8,19,3,8,6,2,3
Γεια σου γέρω! Κουτσιά σπέρνω,1,5,9,2,6,4,2,1,6,6,1,4,6,4,8
Καθένας έχει το δαιμόνιόν του,6,1,15,6,4,2,7,3,4,30,10,2,2,1,4
Των φρενίμων τα παλιά οι λωλοί τα κατελούν,1,1,16,9,6,2,3,1,2,8,1,4,4,5,8
Απ' όξω μπέλλα – μπέλλα κι από μέσα κατσιβέλλα,3,5,10,12,6,7,10,3,1,30,6,5,1,5,1
Καλύτερα προίκα σε κτήματα παρά σε φορέματα,2,2,2,10,1,1,2,1,2,2,6,2,6,4,2
Άρπαξέ με τζαί να σ' αρπάξω,1,3,9,50,6,4,10,1,3,6,5,6,6,1,9
"Μια φορά πηγαίνει το κολοκύθι για νερό δυό, την τρίτη τσακίζεται",6,1,8,16,6,2,10,1,2,40,10,1,5,7,1
Κατά τον άνθρωπο και τα ραβδιά,1,1,8,17,6,4,7,3,6,50,3,4,6,2,2
Μόνον εις τους πλουσίους και τους τιμίους δανείζουν!,1,1,2,9,1,1,6,1,4,31,6,1,2,5,4
